,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Complain,Satisfaction Score,Point Earned,Geography_France,Geography_Germany,Geography_Spain,Gender_Female,Gender_Male,Card Type_DIAMOND,Card Type_GOLD,Card Type_PLATINUM,Card Type_SILVER,Exited,Binned-Age
57,725,19,0,75888.2,1,0,0,45613.75,0,2,406,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0-20
58,511,66,4,0.0,1,1,0,1643.11,1,5,549,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,61-80
59,614,51,4,40685.92,1,1,1,46775.28,0,4,954,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,41-60
60,742,35,5,136857.0,1,0,0,84509.57,0,4,823,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,21-40
61,687,27,9,152328.88,2,0,0,126494.82,0,5,769,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,21-40
62,555,33,1,56084.69,2,0,0,178798.13,0,5,481,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,21-40
63,684,56,8,78707.16,1,1,1,99398.36,0,4,903,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,41-60
64,603,26,4,109166.37,1,1,1,92840.67,0,3,882,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,21-40
65,751,36,6,169831.46,2,1,1,27758.36,1,5,379,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,21-40
66,581,34,1,101633.04,1,1,0,110431.51,1,3,469,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,21-40
67,735,43,10,123180.01,2,1,1,196673.28,1,3,683,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,41-60
68,661,35,5,150725.53,2,0,1,113656.85,1,1,770,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,21-40
69,675,21,8,98373.26,1,1,0,18203.0,0,5,985,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,21-40
70,738,58,2,133745.44,4,1,0,28373.86,1,4,725,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,41-60
71,813,29,6,0.0,1,1,0,33953.87,0,3,259,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,21-40
72,657,37,0,163607.18,1,0,1,44203.55,0,2,979,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,21-40
73,604,25,5,157780.84,2,1,1,58426.81,0,2,988,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,21-40
74,519,36,9,0.0,2,0,1,145562.4,0,2,833,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,21-40
75,735,21,1,178718.19,2,1,0,22388.0,0,1,527,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,21-40
76,664,55,8,0.0,2,1,1,139161.64,0,5,220,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,41-60
77,678,32,9,0.0,1,1,1,148210.64,0,4,983,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,21-40
78,757,33,5,77253.22,1,0,1,194239.63,0,3,582,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,21-40
79,416,41,10,122189.66,2,1,0,98301.61,0,3,281,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,41-60
80,665,34,1,96645.54,2,0,0,171413.66,0,3,798,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,21-40
81,777,32,2,0.0,1,1,0,136458.19,1,5,917,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,21-40
82,543,36,3,0.0,2,0,0,26019.59,0,2,255,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,21-40
83,506,34,4,90307.62,1,1,1,159235.29,0,4,511,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,21-40
84,493,46,4,0.0,2,1,0,1907.66,0,1,498,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,41-60
86,750,22,3,121681.82,1,1,0,128643.35,1,2,852,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,21-40
87,729,30,9,0.0,2,1,0,151869.35,0,1,807,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,21-40
88,646,46,4,0.0,3,1,0,93251.42,1,3,470,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,41-60
89,635,28,3,81623.67,2,1,1,156791.36,0,1,659,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,21-40
90,647,44,5,0.0,3,1,1,174205.22,1,3,752,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,41-60
91,808,45,7,118626.55,2,1,0,147132.46,0,1,559,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,41-60
92,524,36,10,0.0,2,1,0,109614.57,0,2,375,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,21-40
93,769,29,8,0.0,2,1,1,172290.61,0,2,411,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,21-40
94,730,42,4,0.0,2,0,1,85982.47,0,4,722,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,41-60
95,515,35,10,176273.95,1,0,1,121277.78,0,1,231,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,21-40
96,773,41,9,102827.44,1,0,1,64595.25,0,5,488,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,41-60
97,814,29,8,97086.4,2,1,1,197276.13,0,2,965,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,21-40
98,710,22,8,0.0,2,0,0,99645.04,0,4,289,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,21-40
99,413,34,9,0.0,2,0,0,6534.18,0,1,449,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,21-40
100,665,40,6,0.0,1,1,1,161848.03,0,2,651,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,21-40
101,623,44,6,0.0,2,0,0,167162.43,0,2,520,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,41-60
102,738,31,9,82674.15,1,1,0,41970.72,0,4,234,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,21-40
103,528,36,7,0.0,2,1,0,60536.56,0,5,458,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,21-40
104,670,65,1,0.0,1,1,1,177655.68,1,2,915,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,61-80
105,622,46,4,107073.27,2,1,1,30984.59,1,3,299,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,41-60
106,582,32,1,88938.62,1,1,1,10054.53,0,4,838,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,21-40
107,785,36,2,99806.85,1,0,1,36976.52,0,5,786,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,21-40
108,605,33,5,150092.8,1,0,0,71862.79,0,3,509,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,21-40
109,479,35,9,92833.89,1,1,0,99449.86,1,3,328,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,21-40
110,685,30,3,90536.81,1,0,1,63082.88,0,4,347,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,21-40
111,538,39,7,108055.1,2,1,0,27231.26,0,5,534,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,21-40
112,562,42,2,100238.35,1,0,0,86797.41,0,5,709,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,41-60
113,675,36,9,106190.55,1,0,1,22994.32,0,4,749,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,21-40
114,721,28,9,154475.54,2,0,1,101300.94,1,5,541,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,21-40
115,628,30,9,132351.29,2,1,1,74169.13,0,2,736,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,21-40
116,668,37,6,167864.4,1,1,0,115638.29,0,4,529,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,21-40
117,506,41,1,0.0,2,1,0,31766.3,0,4,594,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,41-60
118,524,31,8,107818.63,1,1,0,199725.39,1,1,462,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,21-40
119,699,34,4,185173.81,2,1,0,120834.48,0,3,429,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,21-40
120,828,34,8,129433.34,2,0,0,38131.77,0,4,370,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,21-40
121,674,39,6,120193.42,1,0,0,100130.95,0,1,510,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,21-40
122,656,39,6,0.0,2,1,0,141069.88,0,4,638,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,21-40
123,684,48,10,126384.42,1,1,1,198129.36,0,1,462,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,41-60
124,625,28,3,0.0,1,0,0,183646.41,0,4,718,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,21-40
125,432,42,9,152603.45,1,1,0,110265.24,1,3,437,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,41-60
126,549,52,1,0.0,1,0,1,8636.05,1,4,485,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,41-60
127,625,56,0,148507.24,1,1,0,46824.08,1,3,410,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,41-60
128,828,41,7,0.0,2,1,0,171378.77,0,2,666,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,41-60
129,770,24,9,101827.07,1,1,0,167256.35,0,4,730,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,21-40
130,758,34,3,0.0,2,1,1,124226.16,0,2,375,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,21-40
131,795,33,9,130862.43,1,1,1,114935.21,0,5,411,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,21-40
132,687,38,9,122570.87,1,1,1,35608.88,0,4,595,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,21-40
133,686,25,1,0.0,2,0,1,16459.37,0,1,578,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,21-40
134,789,39,7,124828.46,2,1,1,124411.08,0,2,377,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,21-40
135,589,50,5,144895.05,2,1,1,34941.23,0,2,831,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,41-60
136,461,34,5,63663.93,1,0,1,167784.28,0,1,497,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,21-40
137,637,40,2,133463.1,1,0,1,93165.34,0,1,374,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,21-40
138,584,48,2,213146.2,1,1,0,75161.25,0,4,814,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,41-60
139,579,35,1,129490.36,2,0,1,8590.83,1,4,247,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,21-40
140,756,44,10,137452.09,1,1,0,189543.9,0,5,965,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,41-60
141,663,34,7,0.0,2,1,1,180427.24,0,3,912,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,21-40
142,682,43,5,125851.93,1,1,1,193318.33,0,4,462,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,41-60
143,793,52,2,0.0,1,1,0,159123.82,1,5,883,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,41-60
144,691,31,5,40915.55,1,1,0,126213.84,0,2,402,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,21-40
145,485,21,5,113157.22,1,1,1,54141.5,0,4,764,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,21-40
146,635,29,8,138296.94,2,1,0,141075.51,0,1,608,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,21-40
147,650,37,5,106967.18,1,0,0,24495.03,0,5,652,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,21-40
148,735,44,9,120681.63,1,1,0,74836.34,0,2,520,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,41-60
149,416,32,0,0.0,2,0,1,878.87,0,5,884,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,21-40
150,754,32,7,0.0,2,1,0,89520.75,0,1,800,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,21-40
151,535,48,9,0.0,1,1,0,149892.79,1,4,697,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,41-60
152,716,42,8,0.0,2,1,0,180800.42,0,2,427,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,41-60
153,539,37,2,127609.59,1,1,0,98646.22,0,1,620,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,21-40
154,614,43,6,0.0,2,1,1,109041.53,0,1,318,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,41-60
155,706,57,7,0.0,1,1,0,17941.16,1,1,701,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,41-60
156,758,33,7,0.0,2,0,0,82996.47,0,4,953,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,21-40
157,586,28,2,0.0,2,1,1,92067.35,0,5,635,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,21-40
159,631,33,4,123246.7,1,0,0,112687.57,0,3,662,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,21-40
160,717,22,6,101060.25,1,0,1,84699.56,0,2,666,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,21-40
161,684,30,2,0.0,2,1,0,83473.82,0,4,699,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,21-40
162,800,49,7,108007.36,1,0,0,47125.11,0,3,855,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,41-60
163,721,36,2,0.0,2,1,1,106977.8,0,5,534,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,21-40
164,683,29,0,133702.89,1,1,0,55582.54,1,1,388,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,21-40
165,660,31,9,125189.75,2,1,1,139874.43,0,5,612,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,21-40
166,704,24,7,113034.22,1,1,0,162503.48,1,2,801,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,21-40
167,615,41,9,109013.23,1,1,0,196499.96,0,1,561,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,41-60
168,667,39,2,0.0,2,1,0,40721.24,1,5,308,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,21-40
169,682,24,9,57929.81,2,0,0,53134.3,0,5,643,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,21-40
170,484,29,4,130114.39,1,1,0,164017.89,0,1,249,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,21-40
171,628,27,5,95826.49,2,1,0,155996.96,1,2,818,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,21-40
172,480,44,10,129608.57,1,1,0,5472.7,1,1,775,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,41-60
173,578,30,4,169462.09,1,1,0,112187.11,1,5,872,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,21-40
174,512,40,5,0.0,2,1,1,146457.83,0,3,435,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,21-40
175,484,35,7,133868.21,1,1,1,27286.1,0,2,415,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,21-40
176,510,30,0,0.0,2,1,1,130553.47,0,2,430,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,21-40
177,606,36,5,190479.48,2,0,0,179351.89,0,5,929,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,21-40
178,597,40,8,101993.12,1,0,1,94774.12,0,5,681,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,21-40
179,754,55,3,161608.81,1,1,0,8080.85,1,4,810,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,41-60
180,850,45,2,122311.21,1,1,1,19482.5,0,5,739,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,41-60
181,510,65,2,0.0,2,1,1,48071.61,0,1,280,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,61-80
182,778,45,1,162150.42,2,1,0,174531.27,0,2,250,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,41-60
183,636,42,2,0.0,2,1,1,55470.78,0,4,991,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,41-60
184,804,50,4,0.0,1,1,1,8546.87,1,2,482,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,41-60
185,514,32,8,0.0,2,1,0,95857.18,0,4,423,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,21-40
186,730,39,1,99010.67,1,1,0,194945.8,0,5,260,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,21-40
187,525,37,0,0.0,1,0,1,131521.72,0,5,642,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,21-40
188,616,30,5,0.0,2,0,1,196108.51,0,4,701,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,21-40
189,687,34,7,111388.18,2,1,0,148564.76,0,4,570,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,21-40
190,715,41,8,56214.85,2,0,0,92982.61,1,4,790,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,41-60
191,512,36,3,84327.77,2,1,0,17675.36,0,5,727,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,21-40
