,CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Complain,Satisfaction Score,Point Earned,Geography_France,Geography_Germany,Geography_Spain,Card Type_DIAMOND,Card Type_GOLD,Card Type_PLATINUM,Card Type_SILVER,Exited
19,627,1,28,5,71097.23,1,1,1,130504.49,0,2,621,0,1,0,1,0,0,0,0
20,636,1,36,5,117559.05,2,1,1,111573.3,0,4,302,1,0,0,0,0,0,1,0
21,798,1,28,3,0.0,2,1,0,2305.27,0,2,632,1,0,0,0,1,0,0,0
22,700,1,35,4,95853.39,2,1,0,192933.37,0,5,862,0,1,0,0,1,0,0,0
23,514,1,35,3,121030.9,1,1,0,10008.68,0,4,264,1,0,0,1,0,0,0,0
24,713,0,37,8,0.0,1,1,1,16403.41,0,2,444,1,0,0,0,1,0,0,0
25,467,1,28,10,126315.26,1,1,0,32349.29,1,4,469,0,1,0,0,0,1,0,1
26,689,1,33,2,161814.64,2,1,0,169381.9,0,3,292,0,1,0,0,0,1,0,0
27,510,1,31,0,113688.63,1,1,0,33099.41,1,2,788,0,1,0,0,0,0,1,1
28,618,1,56,7,0.0,1,1,1,142400.27,1,5,444,1,0,0,1,0,0,0,1
29,474,1,45,10,0.0,2,0,0,172175.9,0,4,792,1,0,0,0,0,1,0,0
30,754,1,37,6,0.0,1,1,1,116141.72,0,5,495,1,0,0,0,0,0,1,0
31,703,1,56,9,0.0,1,0,0,85547.33,1,3,623,1,0,0,0,0,0,1,1
32,683,1,30,10,57657.49,1,0,0,79240.9,0,3,905,1,0,0,0,1,0,0,0
33,597,0,26,8,149989.39,1,1,0,42330.58,0,2,489,1,0,0,1,0,0,0,0
34,812,1,24,10,0.0,2,1,1,156906.15,0,1,658,1,0,0,0,0,1,0,0
35,832,0,34,6,138190.13,2,0,1,146511.2,0,2,424,0,0,1,0,0,1,0,0
36,506,1,43,2,0.0,2,1,0,105568.6,0,2,622,1,0,0,0,0,1,0,0
37,685,0,40,7,0.0,1,1,0,72852.74,1,4,877,1,0,0,0,0,0,1,1
38,632,0,50,5,107959.39,1,1,1,6985.34,1,5,344,0,1,0,0,0,0,1,1
39,666,0,27,4,0.0,2,0,0,88751.45,0,1,818,1,0,0,1,0,0,0,0
40,775,0,38,6,179886.41,2,0,0,153122.58,0,3,724,0,1,0,0,0,1,0,0
41,698,0,39,9,161993.89,1,0,0,90212.38,0,3,515,0,0,1,1,0,0,0,0
42,657,0,39,4,80293.81,1,1,0,97192.76,0,1,681,1,0,0,1,0,0,0,0
43,748,0,34,8,0.0,2,1,0,53584.03,0,4,932,1,0,0,0,1,0,0,0
44,642,0,56,6,103244.86,2,1,0,143049.72,1,4,918,0,1,0,0,0,1,0,1
45,844,0,29,8,0.0,2,0,0,147342.03,0,3,807,1,0,0,0,0,1,0,0
46,766,0,45,6,0.0,2,0,0,147184.74,0,3,298,1,0,0,0,0,1,0,0
47,708,0,43,0,118994.84,1,1,0,181499.77,1,1,904,0,1,0,0,0,1,0,1
48,705,1,35,4,136496.12,2,1,0,116672.02,0,5,427,0,1,0,1,0,0,0,0
49,695,0,29,9,0.0,2,1,0,111565.45,0,2,903,1,0,0,1,0,0,0,0
50,507,1,32,7,0.0,2,1,0,67926.18,0,5,506,0,0,1,0,0,0,1,0
51,614,0,34,5,0.0,2,1,0,185561.89,0,5,399,1,0,0,0,0,0,1,0
52,543,1,64,4,0.0,2,1,1,148305.82,0,5,701,1,0,0,0,1,0,0,0
53,562,1,75,5,87140.85,1,1,1,39351.64,0,4,389,1,0,0,0,1,0,0,0
54,607,0,62,8,108004.64,1,1,1,23386.77,1,5,271,0,0,1,0,1,0,0,1
55,709,0,41,3,150300.65,2,1,0,71672.86,0,3,825,1,0,0,1,0,0,0,0
56,634,1,77,5,0.0,2,1,1,161579.85,0,5,398,1,0,0,0,0,1,0,0
57,778,0,47,6,127299.34,2,1,0,124694.99,0,2,859,0,0,1,0,1,0,0,0
58,633,1,58,6,98308.51,1,1,1,132034.13,0,3,808,0,0,1,1,0,0,0,0
59,645,1,28,7,117466.03,2,1,1,34490.06,0,4,554,0,1,0,1,0,0,0,0
60,618,0,35,10,0.0,2,1,0,180439.75,0,1,341,1,0,0,1,0,0,0,0
61,607,1,36,10,106702.94,2,0,0,198313.69,0,1,519,0,1,0,0,0,0,1,0
62,616,1,37,9,0.0,1,1,0,111312.96,0,5,239,1,0,0,0,0,1,0,0
63,679,1,34,7,160515.37,1,1,0,121904.14,0,2,932,1,0,0,1,0,0,0,0
64,630,0,51,0,108449.23,3,0,0,88372.69,1,2,295,0,1,0,0,1,0,0,1
65,646,0,38,2,0.0,2,0,0,178752.73,0,3,240,1,0,0,0,1,0,0,0
66,528,1,32,2,99092.45,1,0,1,111149.98,0,5,859,0,1,0,0,0,1,0,0
67,776,1,37,2,0.0,1,0,1,8065.0,0,3,846,1,0,0,0,0,0,1,0
68,697,0,74,3,108071.36,2,1,1,16445.79,0,3,525,0,1,0,1,0,0,0,0
69,639,1,43,6,99610.92,2,1,0,187296.78,0,5,475,1,0,0,1,0,0,0,0
70,651,0,41,4,133432.59,1,0,1,151303.48,0,3,807,0,1,0,0,0,0,1,0
71,683,1,25,4,0.0,2,1,0,152698.24,0,3,637,1,0,0,0,0,1,0,0
72,523,0,24,5,172231.93,1,0,1,155144.12,0,5,557,0,0,1,0,1,0,0,0
73,850,1,61,1,0.0,1,1,0,53067.83,1,2,372,1,0,0,0,1,0,0,1
74,617,0,39,5,83348.89,3,1,0,7953.62,1,3,994,0,1,0,0,0,1,0,1
75,645,1,47,9,152076.93,1,1,0,121840.2,1,3,309,0,1,0,0,1,0,0,1
76,692,0,36,4,0.0,1,1,0,185580.89,1,1,283,1,0,0,0,0,1,0,1
77,637,1,41,2,0.0,2,0,1,102515.42,0,4,325,1,0,0,0,1,0,0,0
78,704,1,50,4,165438.26,1,1,0,120770.75,1,4,705,1,0,0,0,1,0,0,1
79,829,0,27,9,112045.67,1,1,1,119708.21,1,3,779,0,1,0,1,0,0,0,1
80,591,0,39,3,0.0,3,1,0,140469.38,1,3,298,0,0,1,1,0,0,0,1
81,850,0,35,9,0.0,2,0,0,25329.48,0,1,998,1,0,0,0,0,0,1,0
82,670,1,33,1,0.0,2,1,1,86413.11,0,3,898,1,0,0,1,0,0,0,0
83,691,1,52,3,0.0,1,1,0,175843.68,1,3,660,1,0,0,0,0,0,1,1
84,749,1,42,1,129776.72,2,0,1,143538.51,0,5,942,1,0,0,1,0,0,0,0
85,585,0,33,8,0.0,2,1,0,114182.07,0,4,779,0,0,1,0,0,1,0,0
86,679,0,24,6,114948.76,2,0,1,135768.25,0,4,471,1,0,0,0,1,0,0,0
87,687,1,35,3,0.0,2,1,1,176450.19,0,2,508,0,0,1,0,0,0,1,0
88,689,0,31,3,139799.63,1,0,1,120663.57,0,5,964,0,0,1,0,1,0,0,0
89,546,0,45,2,0.0,1,0,0,197789.83,1,4,603,0,0,1,1,0,0,0,1
90,711,0,34,6,0.0,2,1,1,175310.38,0,2,408,1,0,0,1,0,0,0,0
91,568,1,40,1,99282.63,1,0,0,134600.94,1,2,818,0,1,0,0,0,0,1,1
92,672,1,43,5,0.0,2,1,1,64515.5,0,5,784,0,0,1,0,1,0,0,0
93,690,1,29,5,0.0,2,1,0,108577.97,0,3,242,1,0,0,0,0,1,0,0
94,560,0,66,9,0.0,1,1,1,15928.49,0,3,906,1,0,0,1,0,0,0,0
95,734,1,22,5,130056.23,1,0,0,121894.31,1,4,830,1,0,0,0,0,0,1,1
96,767,1,47,2,0.0,1,1,0,48161.18,1,3,580,0,0,1,0,1,0,0,1
97,785,1,28,8,0.0,2,1,0,77231.27,0,2,937,1,0,0,0,0,0,1,0
98,702,1,34,4,100054.77,1,1,0,109496.45,0,3,907,1,0,0,0,0,1,0,0
99,840,0,51,1,87779.83,1,0,1,36687.11,1,4,995,0,1,0,0,1,0,0,1
100,666,0,47,5,0.0,1,0,0,166650.9,1,3,988,0,0,1,0,0,0,1,1
101,545,0,74,3,0.0,2,1,1,161326.73,0,2,423,0,0,1,0,0,0,1,0
102,629,0,31,6,0.0,1,1,1,16447.6,1,3,427,1,0,0,0,0,1,0,1
103,689,1,45,0,130170.82,2,1,0,150856.38,0,3,855,0,1,0,0,0,0,1,0
104,771,1,51,5,135506.58,3,1,1,152479.64,1,5,853,0,0,1,0,0,0,1,1
105,547,1,43,1,92350.36,1,0,1,80262.91,0,1,682,1,0,0,1,0,0,0,0
106,681,1,65,7,134714.7,2,0,1,190419.81,0,3,854,0,0,1,0,1,0,0,0
107,645,0,24,3,34547.82,1,1,1,11638.17,0,2,581,1,0,0,0,0,0,1,0
108,652,0,51,3,0.0,1,1,0,173989.47,1,1,673,1,0,0,1,0,0,0,1
109,762,1,34,4,88815.56,2,1,0,68562.26,1,2,448,0,1,0,0,0,0,1,1
110,608,0,40,7,96202.32,1,0,0,161154.85,0,5,822,0,1,0,0,0,0,1,0
111,598,1,32,9,123938.6,2,1,0,198894.42,0,5,375,0,1,0,1,0,0,0,0
112,538,1,39,7,108055.1,2,1,0,27231.26,0,5,534,0,1,0,0,0,0,1,0
113,670,0,29,9,0.0,2,1,0,27359.19,0,4,440,0,0,1,1,0,0,0,0
114,529,1,30,2,116295.29,1,1,0,75285.47,0,4,997,1,0,0,0,0,1,0,0
115,758,1,68,6,112595.85,1,1,0,35865.44,1,4,843,0,1,0,0,1,0,0,1
116,687,0,35,3,99587.43,1,1,1,1713.1,1,5,827,1,0,0,0,0,0,1,1
117,429,1,24,4,95741.75,1,1,0,46170.75,0,2,352,1,0,0,0,1,0,0,0
118,610,1,36,7,115462.02,1,0,1,42581.04,0,5,295,0,1,0,0,1,0,0,0
119,619,0,41,5,92467.58,1,1,0,38270.47,0,3,569,0,1,0,0,1,0,0,0
120,625,1,36,9,108546.16,3,1,0,133807.77,1,5,330,1,0,0,0,1,0,0,1
121,663,1,39,4,0.0,1,1,0,76884.05,0,1,900,1,0,0,1,0,0,0,0
122,739,1,34,9,0.0,1,1,0,60584.33,0,3,788,1,0,0,0,0,1,0,0
123,695,0,39,5,0.0,2,0,0,102763.69,0,3,320,0,0,1,1,0,0,0,0
124,536,1,32,7,178011.5,2,1,0,22375.14,0,4,454,1,0,0,0,1,0,0,0
125,691,0,41,8,109153.96,3,1,1,148848.76,1,1,736,0,1,0,1,0,0,0,1
126,615,1,66,7,0.0,2,1,1,74580.8,0,1,994,1,0,0,0,0,1,0,0
127,448,0,36,6,83947.12,2,1,0,81999.53,0,4,524,1,0,0,0,0,0,1,0
128,588,0,34,10,129417.82,1,1,0,153727.32,0,3,300,0,1,0,1,0,0,0,0
129,607,1,38,3,98205.77,1,1,0,176318.27,0,4,354,0,1,0,0,0,1,0,0
130,605,0,43,8,125338.8,2,1,0,23970.13,0,2,998,0,1,0,0,0,0,1,0
131,585,0,34,1,0.0,1,1,1,75503.6,0,3,503,1,0,0,0,1,0,0,0
132,413,1,34,9,0.0,2,0,0,6534.18,0,1,449,1,0,0,0,0,1,0,0
133,566,1,54,4,118614.6,2,1,1,172601.62,0,3,572,0,1,0,0,0,0,1,0
134,639,1,28,8,0.0,2,1,0,126561.07,0,5,249,0,0,1,0,0,1,0,0
135,713,1,45,4,131038.14,1,1,0,74005.04,1,2,495,0,1,0,0,1,0,0,1
136,530,0,41,4,0.0,2,0,1,147606.71,0,2,955,0,0,1,1,0,0,0,0
137,675,1,32,8,197436.82,1,1,1,52710.7,0,3,236,0,0,1,1,0,0,0,0
138,572,0,35,1,139979.07,1,1,0,185662.84,0,4,598,0,1,0,0,0,0,1,0
139,825,1,34,9,0.0,2,1,1,31933.06,0,3,941,1,0,0,0,0,0,1,0
140,458,0,35,5,166492.48,1,1,0,135287.74,0,3,603,0,0,1,0,0,0,1,0
141,554,0,41,4,112152.89,1,0,1,36242.19,0,1,897,0,0,1,1,0,0,0,0
142,671,0,31,6,105864.6,2,1,0,145567.34,0,5,674,0,1,0,0,1,0,0,0
143,467,1,57,1,0.0,2,1,1,114448.77,0,1,843,1,0,0,0,1,0,0,0
144,642,1,35,2,133161.95,1,0,1,122254.86,0,3,460,1,0,0,0,1,0,0,0
145,485,0,30,5,156771.68,1,1,1,141148.21,0,5,644,0,1,0,0,0,1,0,0
146,833,1,37,8,151226.18,2,1,1,136129.49,0,3,633,1,0,0,1,0,0,0,0
147,802,0,41,4,90757.64,2,0,1,169183.66,0,5,458,0,1,0,0,0,1,0,0
148,810,1,32,9,120879.73,2,0,1,78896.59,0,2,578,1,0,0,0,0,1,0,0
149,850,1,22,3,0.0,1,1,1,144385.54,0,4,495,0,0,1,0,0,1,0,0
150,838,0,39,5,166733.92,2,1,0,14279.44,0,2,917,0,0,1,1,0,0,0,0
151,625,0,57,7,0.0,1,0,0,84106.17,1,1,674,0,0,1,0,0,0,1,1
152,587,1,33,5,100116.82,1,1,0,34215.58,0,5,492,1,0,0,0,0,0,1,0
153,629,1,39,5,0.0,2,0,0,116748.14,0,5,839,0,0,1,0,1,0,0,0
154,610,0,27,2,0.0,2,1,0,14546.76,0,3,756,1,0,0,0,0,0,1,0
155,451,1,33,6,0.0,2,1,0,184954.11,0,3,268,1,0,0,0,1,0,0,0
156,675,1,66,5,115654.47,2,1,1,131970.86,0,2,785,0,0,1,0,1,0,0,0
157,710,1,34,8,147833.3,2,0,1,1561.58,0,5,916,0,1,0,0,1,0,0,0
158,711,0,45,1,97486.15,2,1,0,50610.62,0,4,841,0,1,0,0,1,0,0,0
159,619,1,29,4,98955.87,1,0,1,131712.51,0,2,337,0,1,0,0,0,0,1,0
160,761,0,34,2,0.0,2,1,0,61251.25,0,3,741,0,0,1,0,0,0,1,0
161,433,1,34,9,152806.74,1,1,0,19687.99,0,5,398,0,0,1,1,0,0,0,0
162,552,1,29,10,0.0,2,1,0,12186.83,0,3,333,1,0,0,1,0,0,0,0
163,582,0,43,5,153313.67,1,0,0,170563.73,0,4,794,1,0,0,0,0,1,0,0
164,514,1,26,1,0.0,2,0,0,121551.93,0,4,885,1,0,0,1,0,0,0,0
165,630,1,37,6,0.0,2,1,1,82647.65,0,3,970,1,0,0,0,1,0,0,0
166,762,0,26,7,123709.46,2,1,1,169654.57,0,4,669,0,0,1,0,0,1,0,0
167,787,0,39,7,171646.76,1,0,1,100791.36,0,4,318,0,0,1,0,1,0,0,0
168,673,1,32,8,121240.76,1,1,0,116969.73,0,2,296,1,0,0,1,0,0,0,0
169,445,1,25,6,0.0,2,1,0,119425.94,0,3,419,1,0,0,0,1,0,0,0
170,642,0,40,7,0.0,2,1,0,10712.82,0,4,718,1,0,0,0,0,1,0,0
171,579,0,29,10,73194.52,2,1,1,129209.09,0,1,853,1,0,0,0,0,1,0,0
172,817,0,37,6,81070.34,2,1,0,80985.88,0,5,518,1,0,0,0,0,1,0,0
173,670,0,38,4,119624.54,2,1,1,110472.12,0,4,732,1,0,0,0,0,1,0,0
174,616,1,18,6,0.0,2,1,1,27308.58,0,3,466,1,0,0,0,0,1,0,0
175,515,1,37,2,90432.92,1,1,1,188366.04,1,1,362,0,1,0,0,0,0,1,1
176,627,0,32,1,0.0,1,1,0,106851.7,0,5,293,1,0,0,0,1,0,0,0
177,659,0,38,9,0.0,2,1,1,132809.18,0,3,268,1,0,0,0,0,0,1,0
178,850,0,45,2,122311.21,1,1,1,19482.5,0,5,739,0,0,1,0,1,0,0,0
179,404,0,54,4,125456.07,1,1,0,83715.66,1,3,353,0,1,0,0,0,1,0,1
180,696,0,31,8,122021.92,2,1,0,33828.64,0,3,896,0,1,0,0,0,0,1,0
181,668,0,32,10,92041.87,1,1,1,43595.9,0,2,995,0,1,0,0,0,0,1,0
182,716,0,29,6,0.0,2,1,1,98998.61,0,2,545,1,0,0,1,0,0,0,0
183,676,0,34,8,100359.54,1,0,0,46038.28,0,1,444,1,0,0,0,1,0,0,0
184,546,1,42,7,139070.51,1,1,1,86945.0,0,3,451,0,0,1,1,0,0,0,0
185,575,0,37,9,133292.45,1,1,0,111175.09,0,2,506,0,0,1,0,0,1,0,0
186,671,1,28,8,119859.52,2,1,0,125422.66,0,4,555,0,1,0,1,0,0,0,0
187,517,1,28,2,115062.61,1,1,0,179056.23,0,2,910,1,0,0,0,1,0,0,0
188,850,0,40,7,104449.8,1,1,1,747.88,0,4,931,0,1,0,0,0,1,0,0
189,685,0,21,6,97956.5,1,1,1,164966.27,0,2,220,0,1,0,0,0,0,1,0
190,698,1,36,6,0.0,2,0,1,19231.98,0,5,698,1,0,0,0,0,1,0,0
191,708,1,40,8,83015.71,1,1,0,101089.76,0,3,699,0,0,1,1,0,0,0,0
192,723,0,28,5,91938.31,1,1,0,143481.85,0,1,500,0,1,0,0,1,0,0,0
193,534,1,24,1,0.0,1,1,1,169653.32,0,4,867,1,0,0,0,1,0,0,0
194,659,0,32,9,0.0,2,1,1,93155.75,0,1,428,1,0,0,0,0,1,0,0
195,688,1,40,6,0.0,1,1,1,47886.44,0,1,618,1,0,0,0,1,0,0,0
196,677,0,35,0,0.0,2,0,0,76637.38,0,4,889,0,0,1,0,0,0,1,0
197,500,0,34,6,0.0,1,1,1,140268.45,0,2,523,1,0,0,0,0,1,0,0
198,652,1,30,2,176166.56,2,1,1,152210.81,0,1,643,1,0,0,0,0,0,1,0
199,744,1,56,9,0.0,2,1,1,169498.61,0,4,730,1,0,0,0,0,0,1,0
200,633,0,39,2,0.0,2,0,0,191207.03,0,1,846,0,0,1,0,0,1,0,0
201,588,0,42,2,164307.77,1,1,0,48498.19,0,3,238,0,1,0,0,0,1,0,0
202,705,0,37,10,0.0,2,1,1,13935.53,1,3,931,1,0,0,0,1,0,0,1
203,768,0,28,3,109118.05,2,0,1,50911.41,0,3,803,1,0,0,0,0,0,1,0
204,815,0,38,2,48387.0,1,1,0,184796.84,0,3,243,0,0,1,1,0,0,0,0
205,746,1,25,9,0.0,2,0,1,88728.47,0,3,746,1,0,0,0,0,0,1,0
206,727,1,28,1,0.0,1,1,0,40357.39,0,4,979,0,0,1,1,0,0,0,0
207,536,0,35,4,121520.36,1,0,0,77178.42,0,3,881,0,1,0,1,0,0,0,0
208,747,1,41,5,0.0,2,1,1,22750.17,0,3,339,1,0,0,1,0,0,0,0
209,678,1,28,5,138668.18,1,1,1,54144.01,0,1,408,0,0,1,0,0,1,0,0
210,560,1,24,1,116084.32,1,1,0,89734.7,0,2,591,1,0,0,1,0,0,0,0
211,607,1,31,8,0.0,2,1,1,43196.5,0,2,738,1,0,0,0,1,0,0,0
212,663,0,33,8,122528.18,1,1,0,196260.3,0,4,261,0,0,1,0,0,0,1,0
213,641,0,35,4,0.0,2,0,0,125986.18,0,4,757,1,0,0,0,0,1,0,0
214,642,1,30,8,134497.27,1,0,0,43250.54,0,3,999,0,1,0,0,1,0,0,0
215,731,0,41,9,152243.57,1,1,1,88783.59,0,4,291,1,0,0,0,0,1,0,0
216,655,0,35,1,82231.51,2,1,0,88798.02,0,1,227,0,0,1,0,0,0,1,0
217,700,0,44,2,58781.76,1,1,0,16874.92,0,3,785,1,0,0,0,0,1,0,0
218,576,0,36,8,166287.85,1,1,1,23305.85,0,5,859,0,1,0,0,0,1,0,0
219,751,0,34,8,127095.14,2,0,0,479.54,0,2,995,0,0,1,1,0,0,0,0
220,552,1,33,3,144962.74,1,1,0,58844.84,1,2,554,0,1,0,0,0,0,1,1
221,580,1,38,9,115442.19,2,1,0,128481.5,1,3,681,0,1,0,0,1,0,0,1
222,617,1,50,7,0.0,1,1,0,184839.7,1,3,488,0,0,1,0,0,1,0,1
223,657,1,42,5,41473.33,1,1,0,112979.6,1,2,603,0,0,1,0,1,0,0,1
224,570,0,30,10,176173.52,1,1,0,97045.32,1,2,539,1,0,0,0,1,0,0,1
225,845,0,43,3,152063.59,2,1,0,97910.06,0,1,443,0,1,0,1,0,0,0,0
226,496,0,59,7,91680.1,2,1,0,163141.18,1,4,609,0,1,0,0,1,0,0,1
227,609,1,31,9,103837.75,1,1,1,150218.11,0,2,718,0,1,0,0,0,0,1,0
228,760,1,42,0,77992.97,2,1,1,97906.38,0,5,969,0,1,0,0,1,0,0,0
229,809,1,24,7,109558.36,1,1,0,183515.13,0,5,483,1,0,0,0,1,0,0,0
230,426,1,34,9,0.0,2,1,0,107876.91,0,2,767,1,0,0,0,0,1,0,0
231,745,1,34,7,132944.53,1,1,1,31802.92,0,1,720,0,0,1,0,0,1,0,0
232,701,0,34,3,105588.66,1,0,1,74694.41,0,4,316,1,0,0,0,0,0,1,0
233,657,1,36,8,188241.05,2,0,0,183058.51,1,3,382,0,0,1,1,0,0,0,1
234,493,0,36,5,148667.81,2,1,0,56092.51,0,4,921,1,0,0,1,0,0,0,0
235,611,1,52,7,0.0,1,0,1,73585.18,1,2,380,0,0,1,0,0,1,0,1
236,776,0,32,4,109421.13,2,1,1,126517.46,0,1,296,0,1,0,0,0,0,1,0
237,588,1,37,2,0.0,2,0,1,187816.59,0,2,889,0,0,1,1,0,0,0,0
238,727,1,38,2,62276.99,1,1,1,59280.79,0,4,757,0,0,1,1,0,0,0,0
239,613,1,38,9,126265.88,2,0,0,15859.95,0,2,571,0,1,0,1,0,0,0,0
240,793,1,63,0,0.0,2,0,1,27166.75,0,1,529,0,0,1,0,1,0,0,0
241,681,0,44,3,105206.7,2,1,1,163558.36,0,2,923,0,1,0,0,1,0,0,0
242,687,1,48,4,0.0,2,1,1,170893.85,0,5,510,1,0,0,0,0,0,1,0
243,655,0,39,6,94631.26,2,1,1,148948.52,0,5,315,1,0,0,0,0,1,0,0
244,470,1,39,5,117469.91,2,0,0,63705.9,0,4,849,0,1,0,1,0,0,0,0
245,620,0,25,8,141825.88,1,1,1,73857.94,1,1,911,0,1,0,0,1,0,0,1
246,779,1,33,3,0.0,2,1,0,30804.68,0,4,408,0,0,1,1,0,0,0,0
247,778,0,34,7,109564.1,1,0,1,113046.81,0,2,758,1,0,0,0,0,1,0,0
248,669,1,51,3,88827.53,1,0,0,85250.77,1,3,612,0,0,1,1,0,0,0,1
249,768,1,29,2,95984.69,2,1,1,73686.75,0,5,631,1,0,0,1,0,0,0,0
250,651,0,34,9,0.0,2,1,0,138113.71,0,3,694,1,0,0,0,0,0,1,0
251,558,0,36,0,126606.63,2,1,1,172363.52,0,4,769,0,1,0,0,0,0,1,0
252,681,0,58,8,93173.88,1,1,1,139761.25,0,2,797,1,0,0,1,0,0,0,0
253,755,1,43,6,165048.5,3,1,0,16929.41,1,2,434,0,1,0,0,0,0,1,1
254,606,1,42,10,0.0,2,1,0,177938.52,0,2,230,0,0,1,0,0,1,0,0
255,683,0,73,8,137732.23,2,1,1,133210.44,0,4,959,1,0,0,0,0,1,0,0
256,744,0,50,1,121498.11,2,0,1,106061.47,1,2,271,0,1,0,0,1,0,0,1
257,630,1,55,2,0.0,1,1,1,106202.07,1,3,660,1,0,0,0,0,0,1,1
258,661,0,41,1,0.0,2,0,1,131300.68,0,1,671,1,0,0,0,0,1,0,0
259,636,0,37,9,157098.52,1,1,1,153535.27,0,3,638,0,1,0,0,0,0,1,0
260,692,0,34,4,109699.08,1,1,1,37898.91,0,2,489,0,0,1,0,0,0,1,0
261,631,1,33,2,0.0,2,1,1,158268.84,0,1,246,0,0,1,0,0,0,1,0
262,749,0,32,7,79523.13,1,0,1,157648.12,0,5,628,0,1,0,0,1,0,0,0
263,656,1,37,2,0.0,2,0,1,67840.81,0,2,436,1,0,0,0,0,0,1,0
264,563,0,39,5,0.0,2,1,1,17603.81,0,1,336,1,0,0,0,0,0,1,0
265,582,1,41,1,40488.76,1,1,0,128528.83,0,4,734,1,0,0,0,1,0,0,0
266,678,1,49,2,116933.11,1,1,0,195053.58,1,5,267,0,1,0,0,0,0,1,1
267,643,1,37,6,0.0,2,0,0,142454.77,0,1,604,1,0,0,1,0,0,0,0
268,358,0,52,8,143542.36,3,1,0,141959.11,1,4,976,0,0,1,0,0,0,1,1
269,464,0,34,5,76001.57,1,1,1,158668.87,0,1,527,0,0,1,1,0,0,0,0
270,507,1,33,7,0.0,2,1,1,85411.01,0,2,675,1,0,0,0,0,1,0,0
271,589,1,38,4,0.0,1,1,0,95483.48,1,5,443,1,0,0,1,0,0,0,1
272,554,0,43,2,120847.11,1,1,0,7611.61,1,3,646,0,1,0,0,1,0,0,1
273,607,0,33,8,91301.72,1,0,1,130824.57,0,5,480,1,0,0,1,0,0,0,0
274,522,0,37,3,95022.57,1,1,1,129107.59,0,3,534,0,1,0,0,0,0,1,0
275,568,1,51,4,0.0,3,1,1,66586.56,0,2,573,1,0,0,0,0,0,1,0
276,541,0,39,9,100116.67,1,1,1,199808.1,1,2,635,0,1,0,0,1,0,0,1
277,719,0,37,9,101455.7,1,1,0,25803.59,1,3,844,1,0,0,0,0,1,0,1
278,502,0,40,7,117304.29,1,0,0,196278.32,0,1,674,0,1,0,1,0,0,0,0
279,659,0,38,9,0.0,2,1,1,35701.06,0,3,609,0,0,1,0,1,0,0,0
280,850,1,38,1,0.0,2,1,1,80006.65,0,2,480,1,0,0,0,0,1,0,0
281,667,1,38,1,87202.38,1,1,1,77866.91,0,5,955,0,0,1,0,0,1,0,0
282,535,0,29,5,0.0,2,0,1,52709.55,0,2,292,1,0,0,0,0,0,1,0
283,551,1,35,7,129717.3,2,0,0,86937.2,0,2,942,1,0,0,1,0,0,0,0
284,820,0,29,3,82344.84,1,0,1,115985.38,0,2,816,1,0,0,0,1,0,0,0
285,684,0,39,4,139723.9,1,1,1,120612.11,0,2,254,0,0,1,0,0,0,1,0
286,557,1,36,1,113110.26,1,1,0,98413.1,0,3,512,0,0,1,1,0,0,0,0
287,609,1,38,6,140752.06,2,0,1,171430.16,0,2,765,0,1,0,0,0,1,0,0
